service,ibu,attribute
Amazon S3,S3 Standard - Infrequent Access,Data retrievals Unit
Amazon S3,S3 Standard - Infrequent Access,Data returned by S3 Select Value
Amazon S3,S3 Standard - Infrequent Access,Data returned by S3 Select Unit
Amazon S3,S3 Standard - Infrequent Access,Data scanned by S3 Select Value
Amazon S3,S3 Standard - Infrequent Access,Data scanned by S3 Select Unit
Amazon S3,S3 One Zone - Infrequent Access,S3 One Zone-IA storage
Amazon S3,S3 One Zone - Infrequent Access,Unit
Amazon S3,S3 One Zone - Infrequent Access,How will data be moved into S3 One Zone-IA?
Amazon S3,S3 One Zone - Infrequent Access,"PUT, COPY, POST, LIST requests to S3 One Zone-IA"
Amazon S3,S3 One Zone - Infrequent Access,"GET, SELECT, and all other requests from S3 One Zone-IA"
Amazon S3,S3 One Zone - Infrequent Access,Lifecycle Transition requests
Amazon S3,S3 One Zone - Infrequent Access,Data retrievals Value
Amazon S3,S3 One Zone - Infrequent Access,Data retrievals Unit
Amazon S3,S3 One Zone - Infrequent Access,Data returned by S3 Select Value
Amazon S3,S3 One Zone - Infrequent Access,Data returned by S3 Select Unit
Amazon S3,S3 One Zone - Infrequent Access,Data scanned by S3 Select Value
Amazon S3,S3 One Zone - Infrequent Access,Data scanned by S3 Select Unit
Amazon S3,S3 Glacier Flexible Retrieval,S3 Glacier Flexible Retrieval storage
Amazon S3,S3 Glacier Flexible Retrieval,Unit
Amazon S3,S3 Glacier Flexible Retrieval,S3 Glacier Flexible Retrieval Average Object Size Value
Amazon S3,S3 Glacier Flexible Retrieval,S3 Glacier Flexible Retrieval Average Object Size Unit
Amazon S3,S3 Glacier Flexible Retrieval,How will data be moved into S3 Glacier Flexible Retrieval?
Amazon S3,S3 Glacier Flexible Retrieval,"PUT, COPY, POST, LIST requests to S3 Glacier Flexible Retrieval"
Amazon S3,S3 Glacier Flexible Retrieval,Lifecycle Transitions into S3 Glacier Flexible Retrieval
Amazon S3,S3 Glacier Flexible Retrieval,Restore requests (Standard)
Amazon S3,S3 Glacier Flexible Retrieval,Restore requests (Expedited)
Amazon S3,S3 Glacier Flexible Retrieval,Restore requests (Bulk)
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Standard) Value
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Standard) Unit
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Expedited) Value
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Expedited) Unit
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Bulk) Value
Amazon S3,S3 Glacier Flexible Retrieval,Data retrievals (Bulk) Unit
Amazon S3,S3 Glacier Flexible Retrieval,Provisioned Capacity Units
Amazon S3,S3 Glacier Deep Archive,S3 Glacier Deep Archive storage
Amazon S3,S3 Glacier Deep Archive,Unit
Amazon S3,S3 Glacier Deep Archive,S3 Glacier Deep Archive Average Object Size Value
Amazon S3,S3 Glacier Deep Archive,S3 Glacier Deep Archive Average Object Size Unit
Amazon S3,S3 Glacier Deep Archive,How will data be moved into S3 Glacier Deep Archive?
Amazon S3,S3 Glacier Deep Archive,"PUT, COPY, POST, LIST requests to S3 Glacier Deep Archive"
Amazon S3,S3 Glacier Deep Archive,Lifecycle Transitions into S3 Glacier Deep Archive
Amazon S3,S3 Glacier Deep Archive,Restore requests (Standard)
Amazon S3,S3 Glacier Deep Archive,Restore requests (Bulk)
Amazon S3,S3 Glacier Deep Archive,Data retrievals (Standard) Value
Amazon S3,S3 Glacier Deep Archive,Data retrievals (Standard) Unit
Amazon S3,S3 Glacier Deep Archive,Data retrievals (Bulk) Value
Amazon S3,S3 Glacier Deep Archive,Data retrievals (Bulk) Unit
Amazon S3,S3 Management and Insights,S3 Storage Lens Objects
Amazon S3,S3 Management and Insights,Unit
Amazon S3,S3 Batch Operations,S3 Batch Operations Jobs
Amazon S3,S3 Batch Operations,Unit
Amazon S3,S3 Batch Operations,S3 Batch Operations Objects
Amazon S3,S3 Batch Operations,Unit
Amazon S3,S3 Encryption,Size of encrypted data
Amazon S3,S3 Encryption,Unit
Amazon S3,Other management and analytics features,S3 General Purpose Buckets
Amazon S3,Other management and analytics features,Unit
Amazon S3,Other management and analytics features,S3 Inventory
Amazon S3,Other management and analytics features,Unit
Amazon S3,Other management and analytics features,S3 Storage Class Analysis
Amazon S3,Other management and analytics features,Unit
Amazon S3,Other management and analytics features,S3 Object Tagging
Amazon S3,Other management and analytics features,Unit
Amazon S3,S3 Object Lambda,GET requests from S3
Amazon S3,S3 Object Lambda,Duration that the Lambda function is set to execute per request (in ms)
Amazon S3,S3 Object Lambda,Amount of memory allocated to the Lambda function Value
Amazon S3,S3 Object Lambda,Amount of memory allocated to the Lambda function Unit
Amazon S3,S3 Object Lambda,Size of data returned by S3 Object Lambda Value
Amazon S3,S3 Object Lambda,Size of data returned by S3 Object Lambda Unit
Amazon S3,S3 Glacier Instant Retrieva,S3 Glacier Instant Retrieval storage
Amazon S3,S3 Glacier Instant Retrieva,Unit
Amazon S3,S3 Glacier Instant Retrieva,How will data be moved into S3 Glacier Instant Retrieval?
Amazon S3,S3 Glacier Instant Retrieva,"PUT, COPY, POST, LIST requests to S3 Glacier Instant Retrieval"
Amazon S3,S3 Glacier Instant Retrieva,"GET, SELECT, and all other requests from S3 Glacier Instant Retrieval"
Amazon S3,S3 Glacier Instant Retrieva,Lifecycle Transition requests
Amazon S3,S3 Glacier Instant Retrieva,Data retrievals Value
Amazon S3,S3 Glacier Instant Retrieva,Data retrievals Unit
Amazon S3,S3 Glacier Instant Retrieva,Data returned by S3 Select Value
Amazon S3,S3 Glacier Instant Retrieva,Data returned by S3 Select Unit
Amazon S3,S3 Glacier Instant Retrieva,Data scanned by S3 Select Value
Amazon S3,S3 Glacier Instant Retrieva,Data scanned by S3 Select Unit
Amazon S3,Data Transfer ,Inbound Data Transfer Data transfer from
Amazon S3,Data Transfer ,Inbound Data Transfer Enter Amount
Amazon S3,Data Transfer ,Inbound Data Transfer Data amount
Amazon S3,Data Transfer ,Outbound Data Transfer Data transfer to
Amazon S3,Data Transfer ,Outbound Data Transfer Enter Amount
Amazon S3,Data Transfer ,Outbound Data Transfer Data amount
Amazon S3,S3 Express One Zone ,S3 Express One Zone storage
Amazon S3,S3 Express One Zone ,Unit
Amazon S3,S3 Express One Zone ,"PUT, COPY, POST, LIST, RENAME requests to S3 Express One Zone"
Amazon S3,S3 Express One Zone ,GET and all other requests from S3 Express One Zone
Amazon S3,S3 Express One Zone ,PUT/ COPY request size
Amazon S3,S3 Express One Zone ,Unit
Amazon S3,S3 Express One Zone ,GET request size
Amazon S3,S3 Express One Zone ,Unit
Amazon S3,S3 Access Grants,Number of AccessGrants Requests
